supplier_id,missing_quarters,count_missing
SUP002,Q4-2022,1
SUP003,Q1-2022,1
SUP009,"Q1-2022, Q2-2022, Q3-2022",3
SUP011,"Q1-2022, Q2-2023",2
SUP013,Q2-2022,1
SUP015,Q4-2022,1
SUP016,Q2-2023,1
SUP017,"Q1-2022, Q4-2023",2
SUP018,Q1-2023,1
SUP019,Q1-2023,1
SUP021,Q1-2023,1
SUP028,Q2-2022,1
SUP031,Q2-2023,1
SUP036,"Q1-2023, Q4-2022, Q4-2023",3
SUP038,Q1-2023,1
SUP041,Q4-2022,1
SUP044,"Q1-2023, Q3-2023",2
SUP045,Q4-2023,1
SUP046,Q3-2022,1
SUP047,Q2-2023,1
SUP050,Q1-2023,1
SUP051,Q4-2022,1
SUP052,"Q3-2022, Q4-2022",2
SUP053,Q4-2023,1
SUP054,Q3-2023,1
SUP055,"Q1-2022, Q3-2022",2
SUP056,Q1-2023,1
SUP060,Q1-2023,1
SUP062,Q2-2022,1
SUP063,Q1-2022,1
SUP067,Q1-2023,1
SUP068,"Q3-2022, Q4-2023",2
SUP071,Q1-2022,1
SUP072,Q3-2023,1
SUP074,Q3-2023,1
SUP075,Q4-2022,1
SUP077,Q4-2023,1
SUP080,Q2-2022,1
SUP083,"Q3-2022, Q4-2022",2
SUP086,Q4-2023,1
SUP087,"Q2-2022, Q3-2022",2
SUP089,Q3-2022,1
SUP091,Q1-2023,1
SUP092,Q4-2023,1
SUP093,Q2-2022,1
SUP094,"Q2-2023, Q4-2023",2
SUP097,Q4-2022,1
SUP099,"Q2-2022, Q3-2023",2
SUP101,Q1-2023,1
SUP106,Q4-2023,1
SUP107,Q3-2022,1
SUP108,Q2-2022,1
SUP114,Q3-2022,1
SUP117,Q2-2022,1
SUP119,Q3-2023,1
SUP120,"Q2-2022, Q2-2023",2
SUP122,Q2-2022,1
SUP123,Q2-2023,1
SUP124,"Q1-2022, Q2-2022, Q4-2023",3
SUP125,"Q2-2022, Q2-2023, Q3-2023",3
SUP126,Q3-2022,1
SUP127,"Q1-2022, Q1-2023, Q2-2023, Q3-2023",4
SUP130,"Q2-2022, Q3-2023, Q4-2023",3
SUP132,Q4-2023,1
SUP135,Q3-2023,1
SUP138,Q3-2023,1
SUP140,Q2-2022,1
SUP142,"Q1-2023, Q4-2023",2
SUP144,Q1-2022,1
SUP145,Q1-2023,1
SUP150,Q1-2022,1
