supplier_id,quarter,supplier_tier,defect_rate_pct,on_time_delivery_pct,team_size,audit_score
SUP001,Q1-2022,Tier 1,0.0,94.2,12,61
SUP001,Q2-2022,Tier 1,0.0,96.8,12,68
SUP001,Q3-2022,tier 1,0.0,95.8,12,84
SUP001,Q4-2022,tier-1,0.0,83.2,12,67
SUP001,Q1-2023,tier 1,0.0,96.4,12,89
SUP001,Q2-2023,tier 1,0.0,83.1,12,73
SUP001,Q3-2023,tier 1,0.0,96.6,12,60
SUP001,Q4-2023,Tier 1,0.0,89.1,12,91
SUP002,Q1-2022,tier-3,0.0,80.6,12,81
SUP002,Q2-2022,tier-3,0.0,98.0,12,65
SUP002,Q3-2022,Tier 3,0.0,83.3,12,66
SUP002,Q1-2023,Tier 3,0.0,84.8,12,96
SUP002,Q2-2023,T3,0.0,89.2,12,84
SUP002,Q3-2023,tier-3,0.0,95.2,12,92
SUP002,Q4-2023,T3,0.0,97.3,12,89
SUP003,Q2-2022,T1,0.0,91.1,18,73
SUP003,Q3-2022,T1,0.0,82.5,18,68
SUP003,Q4-2022,T1,0.0,78.0,18,96
SUP003,Q1-2023,tier 1,0.0,79.3,18,75
SUP003,Q2-2023,T1,0.0,91.3,18,78
SUP003,Q3-2023,tier 1,0.0,84.7,18,76
SUP003,Q4-2023,T1,0.0,90.6,18,89
SUP004,Q1-2022,tier 2,0.0,81.7,6,78
SUP004,Q2-2022,T2,0.0,78.8,6,99
SUP004,Q3-2022,Tier 2,0.0,98.8,6,77
SUP004,Q4-2022,tier 2,0.0,84.4,6,74
SUP004,Q1-2023,Tier 2,0.0,86.5,6,97
SUP004,Q2-2023,Tier 2,0.0,88.7,6,89
SUP004,Q3-2023,Tier 2,0.0,85.2,6,96
SUP004,Q4-2023,Tier 2,0.0,80.6,6,93
SUP005,Q1-2022,T1,0.0,91.9,6,72
SUP005,Q2-2022,tier 1,0.0,94.3,6,60
SUP005,Q3-2022,tier 1,0.0,92.0,6,66
SUP005,Q4-2022,tier 1,0.0,84.0,6,65
SUP005,Q1-2023,T1,0.0,82.3,6,98
SUP005,Q2-2023,tier 1,0.0,90.8,6,81
SUP005,Q3-2023,Tier 1,0.0,84.7,6,88
SUP005,Q4-2023,T1,0.0,78.5,6,99
SUP006,Q1-2022,Tier 2,0.0,87.3,15,76
SUP006,Q2-2022,tier 2,0.0,84.8,15,94
SUP006,Q3-2022,tier-2,0.0,85.0,15,81
SUP006,Q4-2022,tier 2,0.0,97.4,15,72
SUP006,Q1-2023,tier-2,0.0,94.1,15,93
SUP006,Q2-2023,tier 2,0.0,87.6,15,87
SUP006,Q3-2023,tier 2,0.0,83.4,15,69
SUP006,Q4-2023,T2,0.0,82.6,15,86
SUP007,Q1-2022,tier-1,1.34,78.2,21,61
SUP007,Q2-2022,T1,6.71,80.9,21,73
SUP007,Q3-2022,Tier 1,0.93,86.2,21,78
SUP007,Q4-2022,Tier 1,1.23,86.9,21,99
SUP007,Q1-2023,tier-1,7.46,98.6,21,85
SUP007,Q2-2023,Tier 1,6.33,83.7,21,62
SUP007,Q3-2023,Tier 1,5.31,80.3,21,88
SUP007,Q4-2023,tier 1,3.39,89.6,21,93
SUP008,Q1-2022,tier-3,5.22,98.8,9,80
SUP008,Q2-2022,Tier 3,4.13,80.0,9,87
SUP008,Q3-2022,Tier 3,2.55,87.7,9,89
SUP008,Q4-2022,tier-3,0.41,92.1,9,90
SUP008,Q1-2023,Tier 3,6.66,95.2,9,74
SUP008,Q2-2023,Tier 3,2.57,93.7,9,88
SUP008,Q3-2023,Tier 3,7.14,81.0,9,92
SUP008,Q4-2023,tier-3,0.77,81.2,9,72
SUP009,Q4-2022,T1,6.2,78.7,15,73
SUP009,Q1-2023,tier 1,1.34,81.1,15,86
SUP009,Q2-2023,Tier 1,6.58,89.3,15,78
SUP009,Q3-2023,T1,3.16,93.5,15,92
SUP009,Q4-2023,Tier 1,6.02,88.6,15,81
SUP010,Q1-2022,Tier 3,2.94,82.6,20,85
SUP010,Q2-2022,T3,0.95,79.8,20,68
SUP010,Q3-2022,tier-3,1.4,95.3,20,62
SUP010,Q4-2022,tier-3,1.1,91.7,20,75
SUP010,Q1-2023,tier-3,3.14,96.4,20,98
SUP010,Q2-2023,tier-3,1.54,82.6,20,99
SUP010,Q3-2023,T3,2.31,93.4,20,60
SUP010,Q4-2023,T3,6.63,92.9,20,82
