contract_id,counterparty_name,contract_value,start_date,end_date,department
CTR0066,Company N2,326614.41,2021-08-23,2022-10-10,Legal
CTR0067,Company O2,347839.4,2022-03-12,2024-09-11,Finance
CTR0068,Company P2,398511.82,2019-08-01,2021-04-03,Operations
CTR0069,Company Q2,468181.26,2020-03-13,2021-10-13,Procurement
CTR0070,Company R2,191890.39,2019-12-22,2021-11-06,Finance
CTR0071,Company S2,371276.58,2020-08-29,2023-06-14,Procurement
CTR0072,Company T2,503189.99,2020-10-26,2022-03-10,Finance
CTR0073,Company U2,481364.95,2021-07-05,2023-04-08,Operations
CTR0074,Company V2,151639.05,2020-08-07,2022-10-17,Legal
CTR0075,Company W2,331100.6,2019-02-02,2019-08-09,Finance
CTR0076,Company X2,10689.69,2019-08-17,2020-11-20,Procurement
CTR0077,Company Y2,72988.46,2021-02-19,2023-02-04,Operations
CTR0078,Company Z2,315852.55,2020-06-12,2022-06-03,Legal
CTR0079,Company A3,414812.2,2020-12-10,2022-11-23,Procurement
CTR0080,Company B3,395224.02,2019-03-05,2020-03-21,Operations
CTR0081,Company C3,219187.86,2019-04-23,2021-11-18,Procurement
CTR0082,Company D3,34791.26,2021-08-06,2024-04-03,Operations
CTR0083,Company E3,334474.32,2021-02-22,2022-07-15,Legal
CTR0084,Company F3,375152.59,2022-12-13,2025-11-11,Legal
CTR0085,Company G3,85712.3,2019-11-21,2022-07-22,Procurement
CTR0086,,44204.99,2019-08-26,2021-11-26,Operations
CTR0087,Company I3,289846.89,2021-07-27,2024-06-15,Finance
CTR0088,Company J3,366028.07,2021-07-14,2024-02-13,Legal
CTR0089,Company K3,106103.71,2019-09-17,2020-08-26,Finance
CTR0090,Company L3,34151.0,2021-05-27,2023-08-13,Finance
CTR0091,Company M3,211458.27,2020-05-15,2022-06-01,Procurement
CTR0092,,263319.21,2022-08-15,2023-09-14,Procurement
CTR0093,Company O3,62828.78,2021-01-12,2023-11-03,Procurement
CTR0094,Company P3,202267.65,2021-07-19,2023-08-31,Operations
CTR0095,Company Q3,149445.96,2020-01-16,2020-12-26,Legal
CTR0096,Company R3,166502.81,2019-01-22,2020-02-05,Legal
CTR0097,Company S3,345542.65,2019-03-25,2022-02-23,Finance
CTR0098,Company T3,325983.15,2020-07-07,2022-01-18,Procurement
CTR0099,,490039.59,2020-11-02,2022-11-03,Operations
CTR0100,Company V3,111906.31,2022-10-17,2023-10-29,Legal
CTR0101,Company W3,286275.28,2020-05-16,2022-07-07,Operations
CTR0102,Company X3,146524.57,2020-12-17,2022-04-02,Procurement
CTR0103,Company Y3,47190.43,2020-02-02,2021-06-10,Procurement
CTR0104,Company Z3,347518.91,2022-09-10,2024-03-29,Legal
CTR0105,Company A4,42824.27,2020-10-29,2021-12-05,Finance
CTR0106,Company B4,99319.82,2022-07-22,2024-07-25,Finance
CTR0107,Company C4,390943.23,2022-12-09,2024-08-11,Procurement
CTR0108,Company D4,349923.57,2021-11-30,2024-06-13,Procurement
CTR0109,Company E4,390669.57,2022-02-07,2023-07-20,Finance
CTR0110,Company F4,72441.07,2021-06-07,2023-01-18,Procurement
CTR0111,Company G4,25645.44,2019-12-26,2022-05-29,Legal
CTR0112,,170050.23,2020-01-10,2022-06-24,Legal
CTR0113,Company I4,398385.4,2021-01-08,2023-03-13,Operations
CTR0114,Company J4,185667.76,2019-02-21,2020-03-06,Finance
CTR0115,Company K4,145390.83,2019-08-07,2020-09-01,Procurement
CTR0116,Company L4,178398.83,2019-06-14,2021-03-10,Operations
CTR0117,,73027.62,2019-11-03,2020-09-05,Legal
CTR0118,Company N4,181587.72,2020-09-05,2022-09-07,Finance
CTR0119,Company O4,395620.26,2019-02-21,2020-10-22,Legal
CTR0120,Company P4,23106.46,2019-07-11,2020-12-24,Procurement
