record_index,reporting_country,partner_country,year,issue_type,field,value,note
1,Germany,France,2019,large_mirror_statistics_gap,trade_value_usd,689711723.0 vs 2589856030.0,"Gap of 275.5% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
2,Germany,France,2019,large_mirror_statistics_gap,trade_value_usd,2381026193.0 vs 718835592.0,"Gap of 69.8% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
5,Germany,France,2020,large_mirror_statistics_gap,trade_value_usd,2438941875.0 vs 2874194761.0,"Gap of 17.8% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
6,Germany,France,2020,large_mirror_statistics_gap,trade_value_usd,2438941875.0 vs 4492206077.0,"Gap of 84.2% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
7,Germany,France,2020,large_mirror_statistics_gap,trade_value_usd,2438941875.0 vs 4449166636.0,"Gap of 82.4% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
10,Germany,France,2020,large_mirror_statistics_gap,trade_value_usd,2804063553.0 vs 4492206077.0,"Gap of 60.2% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
11,Germany,France,2020,large_mirror_statistics_gap,trade_value_usd,2804063553.0 vs 4449166636.0,"Gap of 58.7% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
12,Germany,France,2020,large_mirror_statistics_gap,trade_value_usd,4132155125.0 vs 2621543613.0,"Gap of 36.6% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
13,Germany,France,2020,large_mirror_statistics_gap,trade_value_usd,4132155125.0 vs 2874194761.0,"Gap of 30.4% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
16,Germany,France,2020,large_mirror_statistics_gap,trade_value_usd,4437042321.0 vs 2621543613.0,"Gap of 40.9% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
17,Germany,France,2020,large_mirror_statistics_gap,trade_value_usd,4437042321.0 vs 2874194761.0,"Gap of 35.2% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
21,Germany,France,2021,large_mirror_statistics_gap,trade_value_usd,3662103517.0 vs 1049200533.0,"Gap of 71.3% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
22,Germany,France,2021,large_mirror_statistics_gap,trade_value_usd,3662103517.0 vs 1223974836.0,"Gap of 66.6% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
23,Germany,France,2021,large_mirror_statistics_gap,trade_value_usd,1064205983.0 vs 3706690633.0,"Gap of 248.3% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
26,Germany,France,2021,large_mirror_statistics_gap,trade_value_usd,1216291780.0 vs 3706690633.0,"Gap of 204.8% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
30,Germany,France,2022,large_mirror_statistics_gap,trade_value_usd,4604844984.0 vs 3492875420.0,"Gap of 24.1% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
31,Germany,France,2022,large_mirror_statistics_gap,trade_value_usd,4604844984.0 vs 2960203676.0,"Gap of 35.7% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
32,Germany,France,2022,large_mirror_statistics_gap,trade_value_usd,3257287265.0 vs 4567508122.0,"Gap of 40.2% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
35,Germany,France,2022,large_mirror_statistics_gap,trade_value_usd,2842565179.0 vs 4567508122.0,"Gap of 60.7% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
36,Germany,France,2022,large_mirror_statistics_gap,trade_value_usd,2842565179.0 vs 3492875420.0,"Gap of 22.9% between export and import reporting. Possible causes: re-exports, CIF/FOB valuation differences, timing differences, or data error. Investigate before citing."
