reporting_country,partner_country,year,flow_type,hs_code,product_category,trade_value_usd,reporting_date,exporter_gdp_usd
Germany,France,2019,export,846841,Machinery,689711723.0,2019-05-27,4100000000000.0
France,Germany,2019,import,846841,Machinery,718835592.0,2019-05-27,4100000000000.0
Germany,France,2019,export,294478,Chemicals,2381026193.0,2019-11-04,4100000000000.0
France,Germany,2019,import,294478,Chemicals,2589856030.0,2019-11-04,4100000000000.0
Germany,France,2020,export,840905,Machinery,2438941875.0,2020-06-03,4100000000000.0
France,Germany,2020,import,840905,Machinery,2621543613.0,2020-06-03,4100000000000.0
Germany,France,2020,export,851368,Electronics,2804063553.0,2020-03-07,4100000000000.0
France,Germany,2020,import,851368,Electronics,2874194761.0,2020-03-07,4100000000000.0
Germany,France,2020,export,296742,Chemicals,4132155125.0,2021-02-16,4100000000000.0
France,Germany,2020,import,296742,Chemicals,4492206077.0,2021-02-16,4100000000000.0
Germany,France,2020,export,538324,Textiles,4437042321.0,2020-05-24,4100000000000.0
France,Germany,2020,import,538324,Textiles,4449166636.0,2020-05-24,4100000000000.0
Germany,France,2021,export,844070,Machinery,3662103517.0,2021-02-10,4100000000000.0
France,Germany,2021,import,844070,Machinery,3706690633.0,2021-02-10,4100000000000.0
Germany,France,2021,export,853139,Electronics,1064205983.0,2021-10-04,4100000000000.0
France,Germany,2021,import,853139,Electronics,1049200533.0,2021-10-04,4100000000000.0
Germany,France,2021,export,299756,Chemicals,1216291780.0,2021-06-08,4100000000000.0
France,Germany,2021,import,299756,Chemicals,1223974836.0,2021-06-08,4100000000000.0
Germany,France,2022,export,857875,Electronics,4604844984.0,2022-01-01,4100000000000.0
France,Germany,2022,import,857875,Electronics,4567508122.0,2022-01-01,4100000000000.0
Germany,France,2022,export,870505,Vehicles,3257287265.0,2023-01-03,4100000000000.0
France,Germany,2022,import,870505,Vehicles,3492875420.0,2023-01-03,4100000000000.0
Germany,France,2022,export,292775,Chemicals,2842565179.0,2022-11-15,4100000000000.0
France,Germany,2022,import,292775,Chemicals,2960203676.0,2022-11-15,4100000000000.0
Germany,France,2023,export,847573,Machinery,2087399884.0,2023-01-05,4100000000000.0
France,Germany,2023,import,847573,Machinery,2046345356.0,2023-01-05,4100000000000.0
Germany,France,2023,export,852780,Electronics,3467906346.0,2023-09-13,4100000000000.0
France,Germany,2023,import,852780,Electronics,3398553699.0,2023-09-13,4100000000000.0
Germany,France,2023,export,874278,Vehicles,3588790153.0,2024-01-01,4100000000000.0
France,Germany,2023,import,874278,Vehicles,3802543767.0,2024-01-01,4100000000000.0
Germany,France,2023,export,288939,Chemicals,3690304380.0,2023-11-26,4100000000000.0
France,Germany,2023,import,288939,Chemicals,3649276922.0,2023-11-26,4100000000000.0
Germany,France,2023,export,518564,Textiles,3813332651.0,2023-08-29,4100000000000.0
France,Germany,2023,import,518564,Textiles,3890228268.0,2023-08-29,4100000000000.0
Germany,USA,2019,export,846824,Machinery,4104386043.0,2019-04-24,4100000000000.0
USA,Germany,2019,import,846824,Machinery,4109541258.0,2019-04-24,4100000000000.0
Germany,USA,2019,export,859965,Electronics,17781213.0,2019-05-17,4100000000000.0
USA,Germany,2019,import,859965,Electronics,17928106.0,2019-05-17,4100000000000.0
Germany,USA,2019,export,299575,Chemicals,1945354550.0,2019-01-22,4100000000000.0
USA,Germany,2019,import,299575,Chemicals,1915205162.0,2019-01-22,4100000000000.0
Germany,USA,2019,export,504572,Textiles,4550892498.0,2020-03-22,4100000000000.0
USA,Germany,2019,import,504572,Textiles,4632342245.0,2020-03-22,4100000000000.0
Germany,USA,2020,export,852478,Electronics,1880061822.0,2020-07-05,4100000000000.0
USA,Germany,2020,import,852478,Electronics,2048681275.0,2020-07-05,4100000000000.0
Germany,USA,2020,export,871158,Vehicles,1217451051.0,2020-01-31,4100000000000.0
USA,Germany,2020,import,871158,Vehicles,1237055580.0,2020-01-31,4100000000000.0
Germany,USA,2020,export,284646,Chemicals,3952461665.0,2020-05-12,4100000000000.0
USA,Germany,2020,import,284646,Chemicals,3979296102.0,2020-05-12,4100000000000.0
Germany,USA,2020,export,533727,Textiles,1771440471.0,2020-10-01,4100000000000.0
USA,Germany,2020,import,533727,Textiles,1775952240.0,2020-10-01,4100000000000.0
Germany,USA,2021,export,841283,Machinery,232551436.0,2021-08-01,4100000000000.0
USA,Germany,2021,import,841283,Machinery,255355602.0,2021-08-01,4100000000000.0
Germany,USA,2021,export,857841,Electronics,4777237665.0,2021-07-18,4100000000000.0
USA,Germany,2021,import,857841,Electronics,4796074325.0,2021-07-18,4100000000000.0
Germany,USA,2021,export,871897,Vehicles,2495598408.0,2022-02-09,4100000000000.0
USA,Germany,2021,import,871897,Vehicles,2483355907.0,2022-02-09,4100000000000.0
Germany,USA,2021,export,290924,Chemicals,1738926084.0,2022-01-20,4100000000000.0
USA,Germany,2021,import,290924,Chemicals,1716925264.0,2022-01-20,4100000000000.0
Germany,USA,2021,export,534343,Textiles,2915904960.0,2021-07-12,4100000000000.0
USA,Germany,2021,import,534343,Textiles,3203076634.0,2021-07-12,4100000000000.0
Germany,USA,2022,export,844021,Machinery,2745986873.0,2022-10-05,4100000000000.0
